設立別,學校所在地別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,新北市,442,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1.36,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0.23
國立,臺北市,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.08
國立,桃園市,1555,0,0,18,0,0,3,2,3,14,0,0,0,20,20,0,0,0,0,3,5.34,0,0,1.16,0,0,0.19,0.13,0.19,0.9,0,0,0,1.29,1.29,0,0,0,0,0.19
國立,臺中市,1427,1,0,6,1,4,3,11,6,37,0,0,0,6,1,15,0,0,1,1,6.52,0.07,0,0.42,0.07,0.28,0.21,0.77,0.42,2.59,0,0,0,0.42,0.07,1.05,0,0,0.07,0.07
國立,臺南市,9197,12,0,125,10,2,27,32,11,128,9,3,2,31,50,101,0,0,18,40,6.53,0.13,0,1.36,0.11,0.02,0.29,0.35,0.12,1.39,0.1,0.03,0.02,0.34,0.54,1.1,0,0,0.2,0.43
國立,高雄市,4080,10,1,67,1,0,6,9,4,32,3,1,1,20,14,50,1,2,16,22,6.37,0.25,0.02,1.64,0.02,0,0.15,0.22,0.1,0.78,0.07,0.02,0.02,0.49,0.34,1.23,0.02,0.05,0.39,0.54
國立,宜蘭縣,3202,8,0,20,4,5,12,23,10,102,4,4,2,6,22,31,0,0,12,36,9.4,0.25,0,0.62,0.12,0.16,0.37,0.72,0.31,3.19,0.12,0.12,0.06,0.19,0.69,0.97,0,0,0.37,1.12
國立,新竹縣,1446,2,0,0,0,0,0,3,0,5,0,1,0,0,9,2,1,0,2,5,2.07,0.14,0,0,0,0,0,0.21,0,0.35,0,0.07,0,0,0.62,0.14,0.07,0,0.14,0.35
國立,苗栗縣,2763,7,0,20,3,0,7,10,1,23,0,0,0,4,7,53,0,1,8,11,5.61,0.25,0,0.72,0.11,0,0.25,0.36,0.04,0.83,0,0,0,0.14,0.25,1.92,0,0.04,0.29,0.4
國立,彰化縣,8103,25,1,171,16,2,40,60,12,137,8,0,2,34,38,17,0,7,21,71,8.17,0.31,0.01,2.11,0.2,0.02,0.49,0.74,0.15,1.69,0.1,0,0.02,0.42,0.47,0.21,0,0.09,0.26,0.88
國立,南投縣,2893,43,0,41,5,0,12,26,7,67,0,2,0,9,15,76,0,3,6,22,11.55,1.49,0,1.42,0.17,0,0.41,0.9,0.24,2.32,0,0.07,0,0.31,0.52,2.63,0,0.1,0.21,0.76
國立,雲林縣,3183,31,0,48,1,4,31,45,12,52,2,0,0,1,6,37,0,3,13,5,9.14,0.97,0,1.51,0.03,0.13,0.97,1.41,0.38,1.63,0.06,0,0,0.03,0.19,1.16,0,0.09,0.41,0.16
國立,嘉義縣,854,13,0,11,1,1,4,9,2,21,0,0,0,12,3,23,0,1,4,9,13.35,1.52,0,1.29,0.12,0.12,0.47,1.05,0.23,2.46,0,0,0,1.41,0.35,2.69,0,0.12,0.47,1.05
國立,屏東縣,3425,40,1,57,7,0,31,43,17,124,1,1,0,25,9,90,0,4,4,46,14.6,1.17,0.03,1.66,0.2,0,0.91,1.26,0.5,3.62,0.03,0.03,0,0.73,0.26,2.63,0,0.12,0.12,1.34
國立,臺東縣,1225,20,0,3,5,0,5,16,4,43,0,1,0,20,7,81,0,7,3,6,18.04,1.63,0,0.24,0.41,0,0.41,1.31,0.33,3.51,0,0.08,0,1.63,0.57,6.61,0,0.57,0.24,0.49
國立,花蓮縣,1630,11,2,4,11,0,11,16,4,74,1,0,0,23,6,111,0,3,7,17,18.47,0.67,0.12,0.25,0.67,0,0.67,0.98,0.25,4.54,0.06,0,0,1.41,0.37,6.81,0,0.18,0.43,1.04
國立,澎湖縣,679,4,0,6,4,0,3,11,3,37,0,0,0,5,3,81,0,1,4,1,24.01,0.59,0,0.88,0.59,0,0.44,1.62,0.44,5.45,0,0,0,0.74,0.44,11.93,0,0.15,0.59,0.15
國立,基隆市,1280,1,0,13,1,0,5,19,8,23,0,0,0,2,5,8,1,5,16,0,8.36,0.08,0,1.02,0.08,0,0.39,1.48,0.63,1.8,0,0,0,0.16,0.39,0.63,0.08,0.39,1.25,0
國立,新竹市,2690,0,0,4,0,0,0,0,0,30,1,0,0,2,1,0,0,0,7,7,1.93,0,0,0.15,0,0,0,0,0,1.12,0.04,0,0,0.07,0.04,0,0,0,0.26,0.26
國立,嘉義市,3480,8,1,11,1,1,6,26,8,42,0,0,1,1,0,22,2,1,0,45,5.06,0.23,0.03,0.32,0.03,0.03,0.17,0.75,0.23,1.21,0,0,0.03,0.03,0,0.63,0.06,0.03,0,1.29
國立,金門縣,434,5,1,0,0,0,5,3,4,5,0,0,0,1,0,0,0,1,0,12,8.53,1.15,0.23,0,0,0,1.15,0.69,0.92,1.15,0,0,0,0.23,0,0,0,0.23,0,2.76
國立,連江縣,81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.64,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41
縣市立,新北市,12227,3,0,163,3,1,27,40,20,113,16,6,0,62,43,14,5,13,13,60,4.92,0.02,0,1.33,0.02,0.01,0.22,0.33,0.16,0.92,0.13,0.05,0,0.51,0.35,0.11,0.04,0.11,0.11,0.49
縣市立,臺北市,17990,1,0,17,6,1,8,14,8,59,1,1,0,16,13,8,1,3,32,8,1.1,0.01,0,0.09,0.03,0.01,0.04,0.08,0.04,0.33,0.01,0.01,0,0.09,0.07,0.04,0.01,0.02,0.18,0.04
縣市立,桃園市,7852,1,0,7,0,0,2,15,3,25,1,2,0,6,5,8,0,0,2,23,1.27,0.01,0,0.09,0,0,0.03,0.19,0.04,0.32,0.01,0.03,0,0.08,0.06,0.1,0,0,0.03,0.29
縣市立,臺中市,12179,12,2,122,9,1,23,55,12,72,13,9,1,70,35,49,3,7,34,46,4.72,0.1,0.02,1,0.07,0.01,0.19,0.45,0.1,0.59,0.11,0.07,0.01,0.57,0.29,0.4,0.02,0.06,0.28,0.38
縣市立,臺南市,573,1,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,1.75,0.17,0,0.17,0,0,0,0,0,0,0,0,0,0,0.7,0.52,0,0,0,0.17
縣市立,高雄市,10098,2,10,154,4,2,19,12,12,40,1,5,0,21,7,62,0,2,6,45,4,0.02,0.1,1.53,0.04,0.02,0.19,0.12,0.12,0.4,0.01,0.05,0,0.21,0.07,0.61,0,0.02,0.06,0.45
縣市立,宜蘭縣,91,0,0,2,0,0,0,1,0,2,0,0,0,0,0,25,0,0,6,0,39.56,0,0,2.2,0,0,0,1.1,0,2.2,0,0,0,0,0,27.47,0,0,6.59,0
縣市立,新竹縣,415,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.96,0,0,0,0,0,0.24,0,0,0.24,0,0,0,0,0,0,0.24,0,0,0.24
縣市立,苗栗縣,568,0,0,5,0,0,0,0,0,5,1,0,0,1,0,17,0,0,0,6,6.16,0,0,0.88,0,0,0,0,0,0.88,0.18,0,0,0.18,0,2.99,0,0,0,1.06
縣市立,彰化縣,879,1,0,7,1,0,0,0,1,3,1,1,0,0,4,15,0,0,0,2,4.1,0.11,0,0.8,0.11,0,0,0,0.11,0.34,0.11,0.11,0,0,0.46,1.71,0,0,0,0.23
縣市立,南投縣,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0
縣市立,雲林縣,355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3.66,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0.85
縣市立,嘉義縣,262,1,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,3.05,0.38,0,0,0,0,0,0,0,0.76,0,0.38,0,0,1.53,0,0,0,0,0
縣市立,屏東縣,534,0,0,1,0,0,0,1,0,3,0,0,0,1,0,14,0,1,2,7,5.62,0,0,0.19,0,0,0,0.19,0,0.56,0,0,0,0.19,0,2.62,0,0.19,0.37,1.31
縣市立,臺東縣,19,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,26.32,0,0,0,0,0,5.26,0,0,15.79,0,0,0,0,0,0,0,0,5.26,0
縣市立,花蓮縣,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,348,0,0,0,1,0,0,0,0,2,0,0,0,1,0,6,1,0,0,0,3.16,0,0,0,0.29,0,0,0,0,0.57,0,0,0,0.29,0,1.72,0.29,0,0,0
縣市立,新竹市,856,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,8,1.87,0,0,0,0.23,0,0.23,0,0,0,0,0,0,0,0.47,0,0,0,0,0.93
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,10245,8,5,76,25,1,63,146,37,521,22,10,5,218,38,54,12,29,143,239,16.12,0.08,0.05,0.74,0.24,0.01,0.61,1.43,0.36,5.09,0.21,0.1,0.05,2.13,0.37,0.53,0.12,0.28,1.4,2.33
私立,臺北市,8944,7,2,18,2,4,21,62,29,450,8,12,18,180,7,12,5,10,211,174,13.77,0.08,0.02,0.2,0.02,0.04,0.23,0.69,0.32,5.03,0.09,0.13,0.2,2.01,0.08,0.13,0.06,0.11,2.36,1.95
私立,桃園市,12388,6,8,166,20,3,62,225,163,485,25,20,6,121,53,159,7,26,175,161,15.26,0.05,0.06,1.34,0.16,0.02,0.5,1.82,1.32,3.92,0.2,0.16,0.05,0.98,0.43,1.28,0.06,0.21,1.41,1.3
私立,臺中市,14796,36,3,261,37,15,99,160,60,642,16,6,3,215,84,140,5,9,75,270,14.44,0.24,0.02,1.76,0.25,0.1,0.67,1.08,0.41,4.34,0.11,0.04,0.02,1.45,0.57,0.95,0.03,0.06,0.51,1.82
私立,臺南市,6126,13,9,137,10,0,43,53,15,323,10,6,0,38,6,100,1,4,56,109,15.23,0.21,0.15,2.24,0.16,0,0.7,0.87,0.24,5.27,0.16,0.1,0,0.62,0.1,1.63,0.02,0.07,0.91,1.78
私立,高雄市,9468,24,2,246,29,2,115,148,78,961,12,8,3,180,44,407,6,22,72,273,27.8,0.25,0.02,2.6,0.31,0.02,1.21,1.56,0.82,10.15,0.13,0.08,0.03,1.9,0.46,4.3,0.06,0.23,0.76,2.88
私立,宜蘭縣,332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新竹縣,1953,4,1,63,0,3,3,17,4,67,4,4,0,7,20,16,1,1,67,16,15.26,0.2,0.05,3.23,0,0.15,0.15,0.87,0.2,3.43,0.2,0.2,0,0.36,1.02,0.82,0.05,0.05,3.43,0.82
私立,苗栗縣,1539,4,0,89,19,2,36,29,14,158,2,1,4,52,9,0,2,1,40,26,31.71,0.26,0,5.78,1.23,0.13,2.34,1.88,0.91,10.27,0.13,0.06,0.26,3.38,0.58,0,0.13,0.06,2.6,1.69
私立,彰化縣,2547,35,1,120,1,0,14,71,9,193,2,0,0,26,0,57,4,3,14,141,27.13,1.37,0.04,4.71,0.04,0,0.55,2.79,0.35,7.58,0.08,0,0,1.02,0,2.24,0.16,0.12,0.55,5.54
私立,南投縣,884,5,0,6,0,2,3,7,6,48,0,0,0,11,0,12,0,15,6,31,17.19,0.57,0,0.68,0,0.23,0.34,0.79,0.68,5.43,0,0,0,1.24,0,1.36,0,1.7,0.68,3.51
私立,雲林縣,2075,33,2,45,5,1,27,26,22,55,8,2,4,20,29,35,1,2,55,44,20.05,1.59,0.1,2.17,0.24,0.05,1.3,1.25,1.06,2.65,0.39,0.1,0.19,0.96,1.4,1.69,0.05,0.1,2.65,2.12
私立,嘉義縣,1763,52,11,30,6,1,19,26,10,96,3,3,3,38,19,26,1,2,8,69,23.99,2.95,0.62,1.7,0.34,0.06,1.08,1.47,0.57,5.45,0.17,0.17,0.17,2.16,1.08,1.47,0.06,0.11,0.45,3.91
私立,屏東縣,1395,22,2,16,1,2,19,20,5,132,5,2,13,23,2,75,2,3,3,52,28.6,1.58,0.14,1.15,0.07,0.14,1.36,1.43,0.36,9.46,0.36,0.14,0.93,1.65,0.14,5.38,0.14,0.22,0.22,3.73
私立,臺東縣,310,5,0,0,3,0,2,3,1,15,0,0,0,7,0,15,0,0,0,13,20.65,1.61,0,0,0.97,0,0.65,0.97,0.32,4.84,0,0,0,2.26,0,4.84,0,0,0,4.19
私立,花蓮縣,1008,1,1,9,9,1,4,3,0,54,1,0,1,0,17,78,1,7,7,18,21.03,0.1,0.1,0.89,0.89,0.1,0.4,0.3,0,5.36,0.1,0,0.1,0,1.69,7.74,0.1,0.69,0.69,1.79
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1053,0,0,1,1,0,2,1,0,30,0,0,0,20,73,2,1,0,3,5,13.2,0,0,0.09,0.09,0,0.19,0.09,0,2.85,0,0,0,1.9,6.93,0.19,0.09,0,0.28,0.47
私立,新竹市,2398,1,5,49,3,5,13,9,19,89,1,2,0,18,36,17,2,2,39,51,15.05,0.04,0.21,2.04,0.13,0.21,0.54,0.38,0.79,3.71,0.04,0.08,0,0.75,1.5,0.71,0.08,0.08,1.63,2.13
私立,嘉義市,2115,7,0,21,5,0,13,34,12,292,13,6,0,0,5,47,2,2,12,111,27.52,0.33,0,0.99,0.24,0,0.61,1.61,0.57,13.81,0.61,0.28,0,0,0.24,2.22,0.09,0.09,0.57,5.25
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
